SNo,Date,StartupName,Location,IndustryVertical,SubVertical,InvestorsName,InvestmentType,AmountInUSD,Remarks
958,2016-07-01 00:00:00,MakeMyTrip,Gurgaon,Consumer Internet,Online Travel/Hotel Booking platform,Ctrip.com International Ltd,Private Equity,180000000,
959,2016-08-01 00:00:00,Melorra,Bangalore,ECommerce,Online/ Mobile Jewellery Retailer,Lightbox Ventures,Private Equity,5000000,
960,2016-08-01 00:00:00,ConfirmTKT,Bangalore,Consumer Internet,Train PNR Status Prediction Platform,"Krishna Jhujhunwala, Dr. Apoorv Ranjan Sharma, Anirudh Damani, Anand Ladsariya, Sanjay Mehta & Others",Seed Funding,250000,
961,2016-08-01 00:00:00,Gyaanzone,Mumbai,Education,Career Planning and Education Advisory Platform,GBIM Technologies Pvt Ltd,Seed Funding,45000,
962,2016-08-01 00:00:00,FlatFurnish,Gurgaon,Consumer Internet,Online Furnishing Rental Platform,Arun Chandra Mohan,Seed Funding,,
963,2016-09-01 00:00:00,Lumiere,Bangalore,ECommerce,Organic Food eTailer,Undisclosed investors,Private Equity,,
964,2016-11-01 00:00:00,Koovs,Gurgaon,ECommerce,Online Fashion Apparel Retailer,"Nahata Family, Waheed Alli",Private Equity,5400000,
965,2016-11-01 00:00:00,Wishup,New Delhi,Consumer Internet,Mobile app based Concierge Service,"500 Startups, Mato Peric, TracxnLabs",Seed Funding,,
966,2016-11-01 00:00:00,FreshMenu,Bangalore,Consumer Internet,Online / Mobile Food Ordering platform,"Zodius Capital, Lightspeed Venture Partners",Private Equity,16500000,
967,2016-11-01 00:00:00,SavvyMob,Bangalore,ECommerce,Last Minute Hotel Bookings mobile marketplace,"TV Mohandas Pai, LetsVenture",Seed Funding,1000000,
968,2016-11-01 00:00:00,Fashionablyin,Mumbai,Consumer Internet,Mobile based Geo-target Fashion Marketplace,Ranjan Mahtani,Seed Funding,,
969,2016-12-01 00:00:00,Shopclues,Gurgaon,ECommerce,ECommerce Marketplace,"GIC, Tiger Global Management, Nexus Venture Partners",Private Equity,100000000,
970,2016-12-01 00:00:00,Hike Messenger,New Delhi,Consumer Internet,P2P Messaging Service,"Matt Mullenweg, Adam D’Angelo, Aditya Agarwal,  Ruchi Sanghvi & Others",Private Equity,,
971,2016-12-01 00:00:00,iBus Networks,Bangalore,Technology,Next Generation in-building connectivity,"Vallabh Bhanshali, N Squared Management LLC, Jagdish & Sandeep Mehta Family Office",Private Equity,2300000,
972,2016-12-01 00:00:00,Happy2Refer,Mumbai,Consumer Internet,Mobile based Referral Platform,"Equity Crest, Vinners, Sparknext",Seed Funding,250000,
973,13/01/2016,CarTrade,Mumbai,Consumer Internet,Auto Classifieds Portal,"Temasek Holdings, March Capital, Warburg Pincus",Private Equity,145000000,
974,13/01/2016,Rentomo,Bangalore,Consumer Internet,peer-to-peer renting Marketplace,Shiva Ashok & Other unnamed investors,Seed Funding,100000,
975,13/01/2016,Roder,New Delhi,Consumer Internet,inter-city cab aggregator,Unicorn India Ventures,Seed Funding,240000,
976,13/01/2016,Bucker,Hyderabad,Consumer Internet,Food Ordering Mobile App,"50k Ventures, Munish Jauhar, Pulkit Jain, Rohit Narang",Seed Funding,,
977,13/01/2016,Care24,Mumbai,Healthcare,Professional Health Services Platform,"SAIF Partners, India Quotient",Private Equity,4000000,
978,13/01/2016,Obino,Mumbai,Healthcare,Weigh Loss Coaching,RoundGlass Partners,Private Equity,,
979,14/01/2016,Snapshopr,Bangalore,Consumer Internet,Visual Search & Image Recognition Platform,Amod Malviya,Seed Funding,,
980,14/01/2016,Buildkar,Bangalore,ECommerce,Construction Material Marketplace,"Mustafa Wajid, Umang Kumar & Others",Seed Funding,,
981,14/01/2016,Orahi,Gurgaon,Consumer Internet,Carpooling Mobile App,Indian Angel Network,Seed Funding,520000,
982,14/01/2016,Zapr,Gurgaon,Technology,TV to Mobile audience Platform,"Flipkart, Saavn, Micromax, Dhiraj Rajaram, Ambiga Dhiraj, Dinesh Agarwal, Samir Bangara, Sanjay Nath, Arihant Patni",Seed Funding,,
983,15/01/2016,Remidio,Bangalore,Healthcare,Healthcare Product Manufacturer,Cipher-Plexus Capital Advisors & Indian HNIs,Private Equity,,
984,15/01/2016,Fitso,Gurgaon,Consumer Internet,Fitness related Social Networking App & Forum,"Varun Khurana, Samar Singla, Vinay Bansal,",Seed Funding,200000,
985,15/01/2016,evibe.in,Bangalore,Consumer Internet,Party Hall Booking platform,"Hyderabad Angels, Lalit Mangal,  Vikas Malpani, Gaurav Bhalotia, LV Prasad",Seed Funding,,
986,15/01/2016,Zoctr,Mumbai,Consumer Internet,healthcare aggregator platform,Times Group,Seed Funding,,
987,15/01/2016,Jobick,Noida,Consumer Internet,Mobile app based Job Search,Abhinav Mathur,Seed Funding,,
988,16/01/2016,Plick,Mumbai,Consumer Internet,Instant Content Transfer Mobile App,Sanjay Mehta,Seed Funding,,
