SNo,Date,StartupName,Location,IndustryVertical,SubVertical,InvestorsName,InvestmentType,AmountInUSD,Remarks
867,2015-07-12 00:00:00,Customfurnish,Hyderabad,Custom Made furniture e-tailer,,Agnus Capital,Private Equity,4500000,Series A
868,2015-07-12 00:00:00,Faasos,Pune,QSR Chain,,"ru-Net, Sequoia Capital,  Lightbox Ventures",Private Equity,30000000,Series C
869,2015-07-12 00:00:00,Vlurn,Mumbai,eLearning platform,,Vidyadhar Sarfare,Seed Funding,,
870,2015-07-12 00:00:00,Leaf Wearables,New Delhi,Smart Safety Wearable Devices,,"Ajeet Khurana Jinesh Shah, Vikram Chachra, Dr. Aniruddha Malpani",Seed Funding,250000,
871,2015-07-12 00:00:00,Coolshare,Mumbai,Cab Sharing service Mobile app,,Gopal Aggarwal,Seed Funding,100000,
872,2015-08-12 00:00:00,mFicient,New Delhi,Cloud Enterprise Mobility Platform,,Undisclosed investors,Seed Funding,,
873,2015-08-12 00:00:00,HeyBiz,New Delhi,Online Shopping Assistant Mobile app,,Shopclues,Seed Funding,,Strategic Funding
874,2015-08-12 00:00:00,Yumist,Gurgaon,Home Cooked Food Order & Delivery platform,,"Unilazer Ventures, Orios Venture Partners, Steven Lurie",Private Equity,2000000,Series A
875,2015-09-12 00:00:00,Jigsaw Academy,Bangalore,Online School for Analytics learning,,Manipal Global Education Services,Private Equity,3000000,Series A
876,2015-09-12 00:00:00,JoeHukum,Gurgaon,Chat based personal Assistant App,,"TracxnLabs, Jitendra Gupta, Prashant Tandon",Seed Funding,,
877,2015-09-12 00:00:00,Voxweb,Mumbai,Picture creation & Social mobile app,,Undisclosed Investor,Seed Funding,350000,
878,2015-09-12 00:00:00,Aye Finance,New Delhi,Nonbanking finance company,,"SAIF Partners, Accion",Private Equity,3000000,Series B
879,2015-09-12 00:00:00,JumboBasket,Chandigarh,eCommerce returns etailer,,Chandigarh Angels Network,Seed Funding,,
880,2015-10-12 00:00:00,BlackBuck,Bangalore,Online Freight Services Aggregator,,"Tiger Global Management, Yuri Milner, Apoletto, Accel Partners, Flipkart",Private Equity,25000000,Series B
881,2015-10-12 00:00:00,HomeStudio,Bangalore,Online Branded Furniture etailer,,Bren Corporation,Private Equity,5000000,Series A
882,2015-10-12 00:00:00,PropheSee,New Delhi,Digital Analytics Platform,,"Indian Angel Network, Stanford Angels, Entrepreneurs India",Seed Funding,500000,
883,2015-10-12 00:00:00,i2e1,New Delhi,Internet Network Infrastructure Services,,GrowX Ventures,Seed Funding,500000,
884,2015-10-12 00:00:00,Holisol Logistics,New Delhi,Supply Chain & Logistics Solutions,,CLSA Capital Partners ARIA IV Funds,Private Equity,10000000,
885,2015-10-12 00:00:00,Stay Simple Resorts,Bangalore,Holiday Resort Chain,,"Mr. Sudhir & Ms. Shalini Sethi, Mr. Praveen Someshwar",Seed Funding,,
886,2015-10-12 00:00:00,Paynear,Hyderabad,Mobile Point of Sale solutions,,Mitesh Majithia,Private Equity,2500000,Pre-Series A
887,2015-10-12 00:00:00,Chillr,Mumbai,Peer-to-Peer Money Transfer & Recharge App,,"Sequoia Capital, Blume Ventures, Uniqorn Ventures and other",Private Equity,70000000,Series A
888,2015-11-12 00:00:00,EureQa,Hyderabad/USA,Test Automation SAAS platform,,"Sashi Reddi, Gabriel Investments",Seed Funding,600000,
889,2015-11-12 00:00:00,LocalCircles,Noida,Citizens Engagement Platform,,Anand Mahindra,Private Equity,,
890,2015-11-12 00:00:00,GetFocus,Mumbai,Indoor Navigation & Analytics Solutions,,Undisclosed investors,Seed Funding,,
891,2015-11-12 00:00:00,UrbanClap,Gurgaon,Hyperlocal On-Demand Household Services platform,,Ratan Tata,Private Equity,,
892,2015-11-12 00:00:00,OnlineRTI,Bangalore,Online RTI application services,,"LetsVenture, Mohandas Pai",Seed Funding,150000,
893,2015-11-12 00:00:00,Powerstores,Goa,ECommerce Website Creation SAAS platform,,Extreme Venture Partners  William Bissell,Seed Funding,,
894,2015-11-12 00:00:00,Weddingz.in,Mumbai,Wedding Venues & Vendors Marketplace,,"Rajan Anandan, Zoya Akhtar, Reema Kagati, Ruchi Narain, Amrish Kumar, Hrishikesh Parandekar",Seed Funding,1000000,
895,2015-11-12 00:00:00,Intelligent Interfaces,Bangalore,Interface development platform for Government officials,,"Sachin Bansal, Binny Bansal",Seed Funding,,Yet to Launch platform
896,14/12/2015,Capricoast,Bangalore,Modular Furnishings Marketplace,,"Accel Partners India, RB Investments",Private Equity,3500000,Series A
897,14/12/2015,JetSetGo,Bangalore,Private Jet Bookings Marketplace,,Puneet Dalmia,Private Equity,,
898,14/12/2015,Cabsguru,New Delhi,Cab search Comparison & Booking platform,,Prashanth Ranganathan,Seed Funding,200000,
899,14/12/2015,Whoop,Boston,Performance Optimization Platform for athletes,,Infosys,Private Equity,3000000,Series A
900,15/12/2015,BookEventz,Mumbai,Event Venue Booking Platform,,"Mumbai Angels, Singapore Angel Network, Zishaan Hayath",Seed Funding,,
901,15/12/2015,Deal Street Asia,Singapore,Digital Media Platform,,"Vijay Shekhar Sharma, Singapore Angels Network",Seed Funding,,
902,15/12/2015,Streamoid,Bangalore / Palo Alto,visual search and discovery platform,,Undisclosed,Seed Funding,1000000,
903,16/12/2015,Housejoy,Bangalore,Home services marketplace,,"Amazon, Vertex Ventures, Qualcomm, Ru-Net Technology Partners, Matrix Partners",Private Equity,22500000,Series B
904,16/12/2015,Bluebirch,Bangalore,End to End reverse logistics Solution platform,,"Chicago Capital Ventures, Sanjay Mehta, Others",Seed Funding,2000000,
905,16/12/2015,MeraDoctor,Mumbai,Virtual Health consultation app,,Unilazer,Private Equity,1200000,Pre-Series A
906,16/12/2015,STAGE 3,New Delhi,Online Renting platform,,"Nisha Sharma, Puneet Dalmia, Balaji Prabhakar",Seed Funding,,
907,17/12/2015,Rivigo,Gurgaon,Logistics Services Provider,,SAIF Partners and others,Private Equity,30000000,Series B (includes Debt financing)
908,17/12/2015,Springboard,Bangalore,Data Science & UX design Learning platform,,"Allen Blue, John Katzman, Naveen Tewari, Kartik Hosanagar, Kashyap Deorah, 500 Startups, Blue Fog Capital",Seed Funding,1700000,
909,17/12/2015,Eatfresh,Bangalore,Online marketplace for Chef Meals,,Kalaari Capital,Private Equity,,
910,18/12/2015,Ampere Vehicles,Coimbatore,Electric Bike Manufacturers,,Kris Gopalakrishnan & Others,Seed Funding,1200000,
911,18/12/2015,Focus Digit,New Delhi,ECommerce platform solutions,,Turning Ideas,Seed Funding,,
912,18/12/2015,The News Minute,Bangalore,Online Media Publication,,Quintillion Media,Seed Funding,,
913,18/12/2015,CBREX,Mumbai / NY,International Hiring Platform,,"Prahlad Rao, Sundara Rajan, Vikram Chachra",Seed Funding,200000,
914,21/12/2015,TruckMandi,New Delhi,Logistics Service Provider Marketplace,,"Ritesh Dwivedy, Ramakant Sharma, Mount Nathan Advisors",Private Equity,2000000,Pre-Series A
915,21/12/2015,Peppertap,Gurgaon,Hyperlocal  Grocery Delivery Service,,Innoven Capital,Private Equity,4000000,part of $40M Series B round
916,21/12/2015,KOOH Sports,Mumbai,Sports Education Platform,,"TCS, HDFC, Faering Capital, Elevate Sports",Private Equity,2000000,Series A
917,22/12/2015,RentOnGo,Bangalore,"Bike, Appliances Renting marketplace",,"Anand Chandrasekaran, Rajesh Sawhney, Kalpana Tatavarti, Shivanandan Pare",Seed Funding,,
918,22/12/2015,Industrybuying,New Delhi,Online Marketplace for Industrial Goods,,"Murugappa Group, TVS Group, Vellayan Subbiah, Arathi Krishna, Arun Venkatachalam",Seed Funding,,
919,22/12/2015,Zapr,Gurgaon,Reward points mobile app,,Dinesh Agarwal,Seed Funding,,
920,22/12/2015,LatestOne,Hyderabad,Mobile accessories online store,,Palred Technologies Ltd,Private Equity,3000000,Additional investment from parent company
921,22/12/2015,PlanetGogo,Gurgaon,Content Discovery & reward points platform,,HT Digital Media Holdings Ltd,Seed Funding,,
922,22/12/2015,Arya.ai,Mumbai,Artificial Intelligence platform,,"YourNest Angel Fund, Venture Nursery",Private Equity,750000,Series A
923,22/12/2015,Doctor Insta,Gurgaon,Medical Consultation & Doctor appointment booking platform,,"Rishi Parti, BrahmaX Ventures",Private Equity,500000,pre-Series A
924,22/12/2015,MobieFit,Goa,Mobile Fitness App,,Medi Assist,Private Equity,1000000,Strategic Investment
925,23/12/2015,LafaLafa,Mumbai,"Digital Coupons, Deal & Cashback aggregator app",,Vectr Ventures,Private Equity,,
926,23/12/2015,Mech Mocha,Bangalore,Mobile Game development & Design platform,,"Blume Ventures, Flipkart",Seed Funding,1000000,
927,23/12/2015,Shotang.com,Bangalore,B2B eCommerce Marketplace,,"Exfinity Venture Partners, Unitus Impact Livelihoods Fund",Private Equity,5000000,Series A
928,23/12/2015,CityFurnish,Gurgaon,Furniture and appliances rental platform,,Jitendra Gupta,Seed Funding,,
929,24/12/2015,Black White Orange,Mumbai,B2B Merchandize platform,,Collaborative Licensing Ventures LLP,Seed Funding,303000,
930,24/12/2015,Kolabro,Gurgaon,Real Estate focused Tech platform,,"Umang Kumar, Ruchir Arora & others",Seed Funding,,
931,24/12/2015,Canvera,Bangalore,Photographer Online search & booking platform,,Info Edge (India) Ltd,Private Equity,2200000,
932,28/12/2015,Town Essentials,Bangalore,Grocery Delivery platform,,"Sharad Hegde, Girish Reddy, Siddharth Patil, Shrikant Patil",Seed Funding,1000000,
933,28/12/2015,Bumper,Bangalore,Mobile Car Servicing appointment app,,SAIF Partners,Seed Funding,500000,
934,29/12/2015,Hotify,Bangalore,New Curation Mobile App,,Mahavir Pratap Sharma,Seed Funding,150000,
935,29/12/2015,MobiKwik,Gurgaon,Mobile Wallet,,"Sequoia Capital, Tree Line Asia, Innoven Capital",Private Equity,6600000,Additional Funding
936,30/12/2015,Intelligent Interfaces,Bangalore,Interface development platform for Government officials,,Yuvraj Singh,Seed Funding,,Yet to Launch
937,2016-01-01 00:00:00,Smartcooky,New Delhi,ECommerce,Health Food / Personal Care Marketplace,"Rajan Anandan, Pramod Bhasin, Siddharth Pai, TV Mohandas Pai, Manvinder Singh Banga",Seed Funding,,
938,2016-01-01 00:00:00,Helpi,Mumbai,Consumer Internet,On Demand Cleaning Services Mobile App,Undisclosed Investors,Seed Funding,,
939,2016-04-01 00:00:00,DogSpot,Gurgaon,ECommerce,Online Pet Store,Ratan Tata,Seed Funding,,
940,2016-04-01 00:00:00,Career360,New Delhi,Education,College Education Portal,MeritTrac,Private Equity,,
941,2016-04-01 00:00:00,B9 Beverages,New Delhi,Food & Beverage,Craft Beer manufacturing company,"Sequoia Capital, Kunal Bahl, Rohit Bansal, Deepinder Goyal, Ashish Dhawan, Mayank Singhal",Private Equity,6000000,
942,2016-05-01 00:00:00,WIMWI Foods,Ahmedabad,Food & Beverage,Healthy food manufacturing & sales startup,Centre for Innovation Incubation and Entrepreneurship (CIIE),Seed Funding,,
943,2016-05-01 00:00:00,MyChild App,Bhopal,Education,Child Disorder Information & Education,"Samir Bangara, Anisha Mittal, Amit Gupta, Pallav Nadhani, Lalit Mangal, Arihant Patni, Dr. Ritesh Malik, Deobrat Singh, Saurab Paruthi, Singapore Angel Network.",Seed Funding,100000,
944,2016-05-01 00:00:00,Instaproc,Noida,ECommerce,B2B Procurement Marketplace for Office Products,Dinesh Agarwal,Seed Funding,,
945,2016-05-01 00:00:00,360Ride,Bangalore,Consumer Internet,Ride Sharing platform,Undisclosed,Seed Funding,150000,
946,2016-05-01 00:00:00,Alef Mobitech,Mumbai,Consumer Internet,Cloud Mobility Solutions,Tata Capital Innovation Fund,Private Equity,5000000,
947,2016-06-01 00:00:00,Tracxn,Bangalore,BFSI,Startup Funding Deal Discovery & Execution platform,Ratan Tata,Seed Funding,,
948,2016-06-01 00:00:00,Qdesq,Gurgaon,Real Estate,Branded Workspaces Aggregator,"Dheeraj Jain, Jagdish Kumar, Bharat Gupta, Ankush Saigal, Praveen Saini",Seed Funding,,
949,2016-06-01 00:00:00,Sensara,Bangalore,Technology,"TV Search, Guide and Remote mobile app","Lalitesh Katragadda,  Ganayantrika Systems",Seed Funding,750000,
950,2016-06-01 00:00:00,Zebpay,Ahmedabad,Consumer Internet,Bitcoin Buying & Selling Mobile App,"Arjun Handa, Amit Jindal, Nagendra Chaudhary",Private Equity,1000000,
951,2016-06-01 00:00:00,PlanMy Medical Trip,Pune,Healthcare,Medical Tourism platform,"Bhanu Vikram Parsotam, Rohan Desai and Paras Patel",Seed Funding,150000,
952,2016-06-01 00:00:00,MyCity4Kids,Gurgaon,Education,Children Education & Information platform,"SIDBI Venture Capital Limited, YourNest Angel Fund",Private Equity,3000000,
953,2016-06-01 00:00:00,Justdakhila.com,New Delhi,Education,School Student admissions platform,Ankur Gupta,Seed Funding,750000,
954,2016-07-01 00:00:00,PitStop,Bangalore,Consumer Internet,Automobile Service Booking App,Myntra/LivSpace Founders,Seed Funding,,
955,2016-07-01 00:00:00,Bikxie,Gurgaon,Consumer Internet,Two Wheeler Taxi Service,Undisclosed Investors,Seed Funding,,
956,2016-07-01 00:00:00,Infurnia,Bangalore,Consumer Internet,Online Furniture Customization platform,Idein Ventures,Seed Funding,160000,
957,2016-07-01 00:00:00,Myly,Jaipur,Education,Mobile Based Education platform,Newbie Promoter Pvt Ltd,Seed Funding,100000,
