startup_name,date,sector,sub_sector,city,investors,round_type,amount_usd,year,month
Creditseva,2016-03-22,Consumer Internet,Online Credit management tools,Hyderabad,"Pix Vine Capital, Infocomm Development Authority of Singapore",Seed,360000.0,2016.0,3.0
Cityshor,2016-03-22,Consumer Internet,online lifestyle media recommendation portal,Ahmedabad,GAIN,Seed,0.0,2016.0,3.0
Endless Robotics,2016-03-23,Technology,Interior Painting Automation,Hyderabad,"Devidas Desai, Vipul Gautam, Singapore Angel Network",Seed,100000.0,2016.0,3.0
Sp Robotics,2016-03-23,Technology,Robotic Classes for Students,Chennai,"Indian Angel Network,",Seed,300000.0,2016.0,3.0
Stalkbuylove,2016-03-23,eCommerce,Fashion eTailer,Delhi,"500 Startups, Littlerock, Singularity Ventures",Seed,0.0,2016.0,3.0
Ekincare,2016-03-23,Consumer Internet,Healthcare related solutions,Hyderabad,"BitChemy Ventures, Maheshwari Investments Pvt Ltd, Anshoo Gaur, Rama Krishna Reddy, Sandeep Seerapu",Private Equity,330000.0,2016.0,3.0
Hashlearn,2016-03-23,Consumer Internet,Mobile based private tutoring services,,"Bhavish Aggarwal, Binny Bansal,\\xc2\\xa0 Rajan Anandan, Mekin Maheshwar, Sunil Kalra, Anupam Mittal, Krishna Mehra, Singapore Angel Network",Seed,0.0,2016.0,3.0
Wheelstreet,2016-03-23,Consumer Internet,Online Bike Rental platform,Bengaluru,Broadbean Capital services,Private Equity,500000.0,2016.0,3.0
Horntell,2016-03-24,Consumer Internet,Unified Push Notification service,Gurgaon,"Bharanidharan Viswanathan, Sanjiv Mittal, Shobhit Shukla, Rahul Agarwal",Seed,150000.0,2016.0,3.0
Schoolkart,2016-03-28,eCommerce,Online Marketplace for Schools,Noida,Undisclosed investors,Seed,300000.0,2016.0,3.0
Healtheminds,2016-03-29,Consumer Internet,Online mental healthcare,Bengaluru,Robin Utthappa,Seed,0.0,2016.0,3.0
Babygogo,2016-03-29,Consumer Internet,Child healthcare experts aggregator mobile app,Delhi,"Rajul Garg, Daljit Singh, Aditya Vij, Kishore Kumar, Shuchin Bajaj",Seed,300000.0,2016.0,3.0
Veritas Finance,2016-03-29,Finance,Asset Based Lending platform,Chennai,Sarva Capital,Private Equity,4700000.0,2016.0,3.0
Qikship,2016-03-29,Consumer Internet,Mobile based Logistics provider,Delhi,undisclosed investors,Seed,200000.0,2016.0,3.0
Fixnix,2016-03-29,Consumer Internet,GRC SAAS Platform,Chennai,Jay Vijayan,Seed,500000.0,2016.0,3.0
True Balance,2016-03-30,Technology,Mobile Balance Check App,Gurgaon,SoftBank Ventures Korea,Private Equity,0.0,2016.0,3.0
Touchkin,2016-03-30,Healthcare,Predictive Healthcare platform,Bengaluru,"Alok Mittal, Amit Gupta, Anuj Srivastava, Himanshu Aggarwal, Raghunandan G, Puneet Agarwal",Seed,400000.0,2016.0,3.0
Switchme,2016-03-31,Consumer Internet,Home Loan Rate comparison platform,Mumbai,"Mohandas Pai, Hiro Mashita, Singapore Angel Network, 500 Startups, Rajan Anandan, Ajay Sarupria",Seed,0.0,2016.0,3.0
Transcell,2016-03-31,Healthcare,Family Stem Cell Banking Services,Hyderabad,Indian Angel Network,Seed,0.0,2016.0,3.0
Blue Tokai Coffee,2016-02-01,ECommerce,Specialty Coffee Etailer,Delhi,Snow Leopard Technology Ventures,Seed,0.0,2016.0,2.0
Altizone,2016-02-02,Technology,IoT & M2M Solutions,Pune,"Wipro Ventures,\\xc2\\xa0 Lumis Partners",Private Equity,4000000.0,2016.0,2.0
Oust App,2016-02-02,Consumer Internet,Competitive Exam Preparation Platform,Bengaluru,"T V Mohandas Pai,\\xc2\\xa0 Aarin Capital",Seed,0.0,2016.0,2.0
Strike,2016-02-02,Consumer Internet,Mobile Email productivity tool,Bengaluru,Multiple investors through Ten Minute Million competition,Seed,22500.0,2016.0,2.0
Maaxmarket,2016-02-02,Consumer Internet,Marketing Automation platform,,Multiple investors through Ten Minute Million competition,Seed,22500.0,2016.0,2.0
Gamooz,2016-02-02,Technology,Augmented Reality Solutions,Gurgaon,Multiple investors through Ten Minute Million competition,Seed,22500.0,2016.0,2.0
Soundsurround,2016-02-02,Technology,Audio Technology Solutions,Mumbai,Multiple investors through Ten Minute Million competition,Seed,22500.0,2016.0,2.0
Mazkara,2016-02-03,Consumer Internet,Beauty & Wellness Platform,Pune / Dubai,Dunamis Ventures Pte Ltd.,Seed,1000000.0,2016.0,2.0
Roadgods,2016-02-03,ECommerce,Auto Spare Parts eTailer,Delhi,Green House Ventures (GHV),Seed,100000.0,2016.0,2.0
Pindropmusic,2016-02-03,Consumer Internet,Music Discovery Mobile App,Noida,Green House Ventures (GHV),Seed,100000.0,2016.0,2.0
Woodpie,2016-02-03,Consumer Internet,Book Recommendation Service,Bengaluru,Ingram Content Group,Seed,30000.0,2016.0,2.0
Perfumery,2016-02-04,ECommerce,Fragrances & Perfume eTailer,Delhi,Oranda Global & Others,Seed,30000.0,2016.0,2.0
Magic Crate,2016-02-05,Education,Children Education Platform,Bengaluru,"TV Mohandas Pai, Aarin Capital",Seed,0.0,2016.0,2.0
Zendrive,2016-02-05,Technology,Safe Driving Data & Analytics platform,Bangalore / SFO,"Sherpa Capital, Nyca Partners and Thomvest Ventures",Private Equity,13500000.0,2016.0,2.0
Smartcooky,2016-02-05,ECommerce,Marketplace for Health Foods,Delhi,"Vandana Luthra,",Private Equity,0.0,2016.0,2.0
Turtlemint,2016-02-05,Consumer Internet,online personalized insurance platform,Mumbai,Nexus Venture Partners,Private Equity,0.0,2016.0,2.0
Bhive,2016-02-05,Real Estate,Workspace Rentals,Bengaluru,"Raghunandan G, Venturesity, Arihant Patni",Seed,0.0,2016.0,2.0
Gingercrush,2016-02-05,Ecommerce,Personalized Products & Merchandize eTailer,Vadodara,"Saha Fund, TV Mohandas Pai, Zia Mody, Mumbai Angels, Ananda Kallugadde, Rakesh Desai, Rakesh Malhotra",Private Equity,1000000.0,2016.0,2.0
American Vision,2016-02-05,Consumer Internet,Optical Store Aggregator Platform,Pune,Undisclosed investors,Seed,81000.0,2016.0,2.0
Dawailelo,2016-02-05,Consumer Internet,Healthcare Services & Online Pharmacy Mobile App,Varanasi,Undisclosed investors,Seed,52000.0,2016.0,2.0
Heads Up For Tails,2016-02-06,Ecommerce,Pet Products eTailer,Delhi,Undisclosed investors,Seed,1000000.0,2016.0,2.0
Livenutrifit,2016-02-06,Healthcare,Weight loss & Healthcare Info portal,Delhi,"Mohit Goel, Vinod Jain & Others",Seed,0.0,2016.0,2.0
Moglix,2016-02-08,Ecommerce,Industrial & Home Products Marketplace,Delhi,Ratan Tata,Private Equity,0.0,2016.0,2.0
Istyleyou,2016-02-08,Consumer Internet,Personal Fashion Stylist App,Gurgaon,Green House Ventures (GHV),Seed,100000.0,2016.0,2.0
Adurcup,2016-02-08,Consumer Internet,Ad Network,Delhi,Green House Ventures (GHV),Seed,100000.0,2016.0,2.0
Weddingz,2016-02-08,Consumer Internet,online marketplace for wedding venues and vendors,Mumbai,Sixth Sense Ventures,Private Equity,0.0,2016.0,2.0
Urban Dhobi,2016-02-08,Consumer Internet,On Demand Laundry Services,Jaipur,"Vinod Bansal, Sanjeev Singhal",Seed,0.0,2016.0,2.0
Gray Routes,2016-02-08,Consumer Internet,Last mile logistics solutions,Mumbai,"Mahesh Parasuraman, Rahul Gautam & Others",Seed,0.0,2016.0,2.0
Xpressbees,2016-02-08,ECommerce,ECommerce Logistics solutions,Pune,"SAIF Partners, IDG Ventures India, Vertex Ventures, Valiant Capital",Private Equity,12500000.0,2016.0,2.0
Invictus Oncology,2016-02-08,Healthcare,Cancer therapeutic Info & Solutions,Delhi,Ratan Tata,Private Equity,0.0,2016.0,2.0
Hansel.Io,2016-02-08,Technology,Mobile App Tech Solutions,Bengaluru,"Endiya Partners, Mekin Maheshwari, Rajesh Sawhney",Seed,0.0,2016.0,2.0
Inc42,2016-02-09,Consumer Internet,Startup Focused Media News Portal,Delhi,"India Ventures, Aarin Capital & Others",Seed,0.0,2016.0,2.0
Goqii,2016-02-09,Technology,Personalized fitness coaching & Fitness band,Mumbai,Edelweiss Financial Services,Private Equity,0.0,2016.0,2.0
Capzest,2016-02-10,Consumer Internet,Digital Lending Platform,Mumbai,Lion Ventures,Seed,200000.0,2016.0,2.0
Glamstudios,2016-02-10,Consumer Internet,Online Salon Aggregator,Noida,Aqeel Ahmed,Seed,0.0,2016.0,2.0
Affimity,2016-02-10,Consumer Internet,Social Networking platform,Bengaluru,undisclosed investors,Seed,1200000.0,2016.0,2.0
