startup_name,sector,city,total_raised,total_rounds,latest_round,last_raise,months_since_raise,recency_score,momentum_score,scale_score,stage_score_norm,health_score,risk_flag
Lenskart,Consumer Internet,Faridabad,658694000.0,6,Seed,2018-04-19,21.1,65.52287581699346,75.0,15.313308448689837,16.666666666666664,48.1,MEDIUM RISK - No raise in 18+ months
Shopx,Consumer Internet,Bengaluru,40000000.0,2,Private Equity,2018-08-07,17.5,71.40522875816994,25.0,0.9299194131836535,83.33333333333334,48.1,STABLE
True North,Finance,Mumbai,600000000.0,1,Private Equity,2018-08-30,16.7,72.7124183006536,12.5,13.948791197754803,83.33333333333334,48.0,"WATCH - Single round, going cold"
Digit,Consumer Internet,Pune,45000000.0,2,Private Equity,2018-07-24,17.9,70.75163398692811,25.0,1.0461593398316102,83.33333333333334,47.9,STABLE
Razorpay,Technology,Bengaluru,261690000.0,5,Series B,2018-01-12,24.4,60.130718954248366,62.5,6.0837652809007565,50.0,47.9,HIGH RISK - No raise in 24+ months
Vyome Therapeutics Inc.,Health and Wellness,India/US,22000000.0,1,Series D,2019-01-04,12.5,79.57516339869281,12.5,0.5114556772510094,83.33333333333334,47.7,"WATCH - Single round, going cold"
Wydr,Consumer Internet,Gurgaon,0.0,3,Private Equity,2018-02-12,23.3,61.9281045751634,37.5,0.0,83.33333333333334,47.7,MEDIUM RISK - No raise in 18+ months
Paysense,Consumer Internet,Mumbai,23300000.0,2,Private Equity,2018-07-21,18.0,70.58823529411765,25.0,0.5416780581794782,83.33333333333334,47.7,STABLE
Collegedekho,Consumer Internet,Gurgaon,5000000.0,3,Private Equity,2018-02-05,23.6,61.43790849673202,37.5,0.11623992664795668,83.33333333333334,47.6,MEDIUM RISK - No raise in 18+ months
Ekincare,Healthcare,Hyderabad,1991000.0,3,Private Equity,2018-01-29,23.8,61.11111111111111,37.5,0.04628673879121636,83.33333333333334,47.4,MEDIUM RISK - No raise in 18+ months
Anchanto,IT,Pune,4000000.0,2,Private Equity,2018-07-04,18.6,69.6078431372549,25.0,0.09299194131836536,83.33333333333334,47.3,MEDIUM RISK - No raise in 18+ months
Urbanclap Technologies Pvt. Ltd,Services Platform,Delhi,50000000.0,1,Series D,2018-12-01,13.6,77.77777777777777,12.5,1.162399266479567,83.33333333333334,47.2,"WATCH - Single round, going cold"
Wow Express,Technology,Mumbai,6700000.0,2,Private Equity,2018-06-27,18.8,69.28104575163398,25.0,0.15576150170826197,83.33333333333334,47.2,MEDIUM RISK - No raise in 18+ months
Incred Finance,Finance,India,42000000.0,1,Private Equity,2018-11-25,13.8,77.45098039215686,12.5,0.9764153838428362,83.33333333333334,47.1,"WATCH - Single round, going cold"
Wickedride,Consumer Internet,Bengaluru,9890000.0,2,Private Equity,2018-06-22,19.0,68.95424836601308,25.0,0.2299225749096583,83.33333333333334,47.1,MEDIUM RISK - No raise in 18+ months
Medikabazaar,Healthcare,Mumbai,15800000.0,1,Series B,2019-11-18,1.9,96.89542483660131,12.5,0.36731816820754315,50.0,47.1,STABLE
Misters,Health and wellness,Gurgaon,486000.0,1,Series B,2019-11-14,2.0,96.73202614379085,12.5,0.01129852087018139,50.0,47.0,STABLE
Glowroad,E-commerce,Bengaluru,13500000.0,2,Series B,2019-05-30,7.6,87.58169934640523,25.0,0.3138478019494831,50.0,47.0,STABLE
Bharatpe,Finance,Delhi,666433000.0,1,Series B,2019-06-04,7.4,87.90849673202615,12.5,15.493224607155545,50.0,47.0,STABLE
Burger Singh,Food and Beverage,Gurgaon,500000.0,2,Venture,2019-11-17,1.9,96.89542483660131,25.0,0.01162399266479567,33.33333333333333,46.8,STABLE
Mswipe,Technology,Mumbai,66000000.0,3,Private Equity,2017-12-07,25.6,58.169934640522875,37.5,1.5343670317530282,83.33333333333334,46.7,HIGH RISK - No raise in 24+ months
Ninjacart,B2B Marketing,Bengaluru,34500000.0,3,Other,2019-11-15,2.0,96.73202614379085,37.5,0.802055493870901,16.666666666666664,46.7,STABLE
Events High,Consumer Internet,Bengaluru,0.0,2,Private Equity,2018-05-30,19.8,67.64705882352942,25.0,0.0,83.33333333333334,46.6,MEDIUM RISK - No raise in 18+ months
Roposo,Social Media,Delhi,31700000.0,3,Series B,2018-11-25,13.8,77.45098039215686,37.5,0.7369611349480454,50.0,46.6,STABLE
Veritas Finance Ltd.,NBFC,Chennai,27799000.0,1,Series D,2018-11-03,14.5,76.30718954248366,12.5,0.6462707441773097,83.33333333333334,46.6,"WATCH - Single round, going cold"
Tonetag,Technology,Bengaluru,9000000.0,2,Private Equity,2018-05-29,19.8,67.64705882352942,25.0,0.20923186796632204,83.33333333333334,46.6,MEDIUM RISK - No raise in 18+ months
Niki.Ai,Consumer Internet,Bengaluru,2000000.0,4,Private Equity,2017-06-28,31.0,49.34640522875817,50.0,0.04649597065918268,83.33333333333334,46.4,HIGH RISK - No raise in 24+ months
Mfine,Healthcare,Bengaluru,5700000.0,2,Private Equity,2018-05-16,20.2,66.99346405228758,25.0,0.13251351637867062,83.33333333333334,46.4,MEDIUM RISK - No raise in 18+ months
Clevertap,SaaS,Mumbai,26000000.0,2,Series B,2019-04-11,9.2,84.9673202614379,25.0,0.6044476185693748,50.0,46.1,STABLE
Yepme,eCommerce,Gurgaon,88700000.0,4,Private Equity,2017-05-20,32.3,47.22222222222223,50.0,2.0620962987347515,83.33333333333334,46.1,HIGH RISK - No raise in 24+ months
Rubique,Consumer Internet,Mumbai,3000000.0,2,Private Equity,2018-04-29,20.8,66.01307189542484,25.0,0.06974395598877402,83.33333333333334,46.0,MEDIUM RISK - No raise in 18+ months
Popxo,Technology,Delhi,8600000.0,2,Private Equity,2018-04-26,20.9,65.84967320261438,25.0,0.19993267383448549,83.33333333333334,46.0,MEDIUM RISK - No raise in 18+ months
Grover Zampa,Food,Mumbai,8200000.0,1,Private Equity,2018-10-04,15.5,74.67320261437908,12.5,0.19063347970264896,83.33333333333334,46.0,"WATCH - Single round, going cold"
Letstransport,Logistics Tech,Bengaluru,13300000.0,2,Series C,2018-10-12,15.3,75.0,25.0,0.3091982048835648,66.66666666666666,45.9,STABLE
Fisdom,Finance,Bengaluru,4600000.0,3,Private Equity,2017-11-08,26.5,56.69934640522876,37.5,0.10694073251612014,83.33333333333334,45.9,HIGH RISK - No raise in 24+ months
