startup_name,total_rounds,first_round,last_round,total_raised
Hungerbox,2,2018-01-22,2019-08-21,9090000.0
Hungry Foal,2,2017-06-06,2017-11-14,0.0
Icustommadeit,2,2015-08-25,2016-02-16,4250000.0
Idreamcareer,2,2015-07-01,2016-05-03,0.0
Inclov,2,2016-08-31,2017-09-26,0.0
Increff,2,2017-07-17,2019-04-17,5000000.0
Indialends,2,2015-07-07,2015-10-05,1000000.0
Infibeam,2,2017-01-25,2018-02-15,15030000.0
Innerchef,2,2015-09-23,2016-10-04,4250000.0
Innovaccer,2,2015-05-13,2016-08-12,37140000.0
Innoviti,2,2015-07-20,2017-07-12,23350000.0
Instalively,2,2015-03-02,2015-04-06,240000.0
Instasafe,2,2015-08-27,2017-01-25,2200000.0
Intelligent Interfaces,2,2015-12-11,2015-12-30,0.0
Inurture,2,2017-04-27,2018-01-31,5900000.0
Iorderfresh,2,2015-08-07,2017-03-10,0.0
Ixigo,2,2015-06-22,2017-03-23,15000000.0
Jetsetgo,2,2015-07-23,2015-12-14,0.0
Jhakaas,2,2017-03-31,2017-07-28,155000.0
Joehukum,2,2015-12-09,2016-09-20,0.0
Julia Computing,2,2015-11-17,2017-06-22,5200000.0
Kaaryah,2,2015-06-03,2015-12-02,0.0
Karma Healthcare,2,2015-06-02,2018-03-19,500000.0
Kartrocket,2,2016-01-18,2016-03-08,14000000.0
Ketto,2,2015-07-16,2015-08-06,1400000.0
Khel Now,2,2016-09-21,2017-01-24,850000.0
Kissht,2,2017-06-22,2018-09-12,32000000.0
Kooh Sports,2,2015-12-21,2016-10-07,4200000.0
Kredx,2,2016-04-13,2016-10-25,6750000.0
Kuvera,2,2018-03-03,2019-04-16,45250000.0
Lafalafa,2,2015-09-21,2015-12-23,125000.0
Latestone,2,2015-12-22,2017-03-15,6350000.0
Leap India,2,2016-06-24,2017-01-06,16000000.0
Letreach,2,2016-04-29,2016-06-29,200000.0
Letstransport,2,2015-08-05,2018-10-12,13300000.0
Leverage Edu,2,2017-08-02,2017-11-06,0.0
Little Black Book,2,2016-04-08,2017-10-05,1000000.0
Livspace,2,2015-08-11,2016-08-29,23000000.0
Loantap,2,2016-08-29,2017-06-23,7000000.0
Loanzen,2,2016-02-24,2018-04-10,0.0
Locus,2,2015-07-27,2016-05-09,2750000.0
Loginext,2,2015-04-07,2015-09-22,10000000.0
Lucideus,2,2016-09-01,2017-05-10,0.0
Madrat Games,2,2015-07-30,2016-06-10,168000.0
Makemytrip,2,2016-01-07,2018-08-07,190000000.0
Mech Mocha,2,2015-12-23,2017-04-06,6000000.0
Indifi,2,2015-10-01,2016-12-13,10000000.0
Wigzo,2,2015-12-01,2017-03-28,500000.0
Medwell Ventures,2,2015-06-05,2017-04-06,31000000.0
Wittyfeed,2,2017-09-13,2017-11-23,0.0
Meradoctor,2,2015-09-03,2015-12-16,1200000.0
Meru Cabs,2,2015-03-16,2016-06-30,75000000.0
Mfine,2,2017-09-01,2018-05-16,5700000.0
World Art Community,2,2015-05-04,2016-10-03,400000.0
Mindtickle,2,2015-11-20,2017-12-13,39500000.0
Mobident,2,2016-08-09,2017-01-05,0.0
Mobiefit,2,2015-12-22,2017-11-28,2350000.0
Wotu,2,2016-10-23,2018-01-05,0.0
Wow Express,2,2016-05-13,2018-06-27,6700000.0
Moengage,2,2015-09-15,2016-12-14,4250000.0
Yourdost,2,2015-11-04,2016-06-27,1600000.0
Moneyonmobile,2,2018-01-30,2018-02-14,12600000.0
Monkeybox,2,2016-11-30,2017-07-21,0.0
Yourstory,2,2015-08-17,2017-02-16,3000000.0
Mubble,2,2015-09-15,2015-10-12,0.0
Murgency,2,2016-04-27,2016-05-17,0.0
Mycity4Kids,2,2016-01-06,2017-07-06,3000000.0
Mydreamstore,2,2015-01-12,2015-01-21,615000.0
Myglamm,2,2016-04-06,2017-03-21,11300000.0
Mygubbi,2,2016-03-09,2017-10-09,5200000.0
Myly,2,2016-01-07,2017-04-15,410000.0
Mypoolin,2,2015-06-03,2015-08-10,250000.0
Yufta,2,2016-04-18,2016-04-21,0.0
Myupchar,2,2017-09-27,2018-08-27,5300000.0
N.O.W,2,2016-01-29,2016-03-07,500000.0
Yumist,2,2015-02-02,2015-12-08,3000000.0
Netmeds,2,2017-10-31,2018-09-01,49000000.0
Nightstay,2,2015-08-05,2017-05-08,500000.0
Arcatron Mobility,2,2016-03-04,2016-05-25,100000.0
Avanti Learning,2,2015-04-22,2016-02-17,6500000.0
Nivesh,2,2017-05-29,2018-06-13,450000.0
Awaaz De,2,2015-05-18,2018-02-13,0.0
Noticeboard,2,2017-07-25,2017-09-19,1200000.0
Nowfloats,2,2015-02-02,2017-01-24,10000000.0
Nurturey,2,2015-01-07,2017-02-13,455000.0
Babychakra,2,2015-06-17,2016-10-18,0.0
Beaconstalk,2,2015-10-30,2016-04-14,180000.0
Betaout,2,2016-04-19,2017-01-24,1500000.0
Betterplace,2,2016-02-16,2016-11-24,970000.0
Oneassist,2,2015-08-12,2017-06-21,7500000.0
Onn Bikes,2,2016-12-05,2017-11-20,692000.0
Opinio,2,2015-07-28,2015-10-20,8300000.0
Orobind,2,2015-03-14,2015-08-17,200000.0
Bigstylist,2,2016-09-06,2017-07-28,2150000.0
Bira91,2,2019-05-31,2019-06-04,15600000.0
Parcelled,2,2015-07-01,2015-10-26,5000000.0
Parentlane,2,2016-05-18,2016-09-23,0.0
Paysense,2,2017-05-17,2018-07-21,23300000.0
Biryani By Kilo,2,2017-02-27,2018-07-02,1375000.0
Paytunes,2,2015-11-04,2016-06-10,500000.0
Bombay Shaving Company,2,2016-08-10,2017-08-23,2900000.0
Burger Singh,2,2015-10-06,2019-11-17,500000.0
Petoo,2,2016-04-06,2016-08-04,1500000.0
Buttercups,2,2015-06-30,2016-08-15,0.0
Pi Ventures,2,2018-01-15,2018-08-22,31000000.0
Pickmylaundry,2,2015-08-26,2016-11-01,300000.0
Pickrr,2,2015-11-18,2016-10-25,0.0
Pikkol,2,2016-08-17,2016-10-28,0.0
Capricoast,2,2015-04-13,2015-12-14,4750000.0
Play Your Sport,2,2015-01-19,2016-05-31,16000.0
Cardekho.Com,2,2015-01-27,2015-02-09,50000000.0
Popxo,2,2017-03-16,2018-04-26,8600000.0
Postman,2,2015-05-27,2016-10-14,25756000.0
Care24,2,2015-10-27,2016-01-13,4350000.0
Careongo,2,2016-02-18,2016-04-27,300000.0
Cars24,2,2018-07-17,2019-08-13,127501000.0
Process 9,2,2015-03-12,2016-04-01,0.0
Prozo,2,2015-09-07,2016-09-07,520000.0
Purplle,2,2016-07-11,2017-12-15,6537000.0
Qlivery,2,2016-01-22,2016-03-17,230000.0
Qriyo,2,2016-01-29,2017-04-29,160000.0
Qubole,2,2016-01-22,2017-11-10,55000000.0
Quickli,2,2015-09-28,2016-07-07,0.0
Cartrade,2,2016-01-13,2017-02-08,200000000.0
Qwikspec,2,2017-01-18,2017-07-14,840000.0
Cash Suvidha,2,2017-12-15,2018-03-26,3700000.0
Raincan,2,2015-08-11,2016-04-13,250000.0
Cashe,2,2017-04-01,2017-10-23,6900000.0
Raw Pressery,2,2017-04-17,2017-10-23,6000000.0
Ccavenue,2,2016-05-31,2017-02-14,31300000.0
Reddoorz,2,2015-09-30,2016-01-20,1000000.0
Renderlogy,2,2015-02-20,2015-05-26,2600000.0
Celes Care,2,2016-09-28,2017-03-02,2500000.0
Renowala,2,2015-11-16,2016-09-01,0.0
Rentomojo,2,2015-11-23,2017-07-19,12000000.0
Rentongo,2,2015-12-22,2017-06-02,234000.0
Rentsher,2,2016-02-15,2018-06-19,1400000.0
Revv,2,2016-12-07,2018-08-22,23270000.0
Chaayos,2,2015-05-19,2017-10-13,3000000.0
Roadrunnr,2,2015-07-15,2015-10-27,21000000.0
Room On Call,2,2015-09-15,2016-03-21,2300000.0
Rooter,2,2016-10-17,2017-03-31,0.0
Chargebee,2,2015-03-11,2018-03-22,76871000.0
Rubique,2,2017-06-28,2018-04-29,3000000.0
Saavn,2,2015-07-08,2016-06-16,100000000.0
Salebhai,2,2016-02-16,2016-08-16,1500000.0
