startup_name,last_raise,sector,city,total_raised
Truehb,2015-07-29,Medical Tech Instruments,Delhi,2400000.0
Zovi.Com / Little App,2015-07-29,Hyperlocal Deals Marketplace,Bengaluru,50000000.0
Swajal,2015-07-29,Innovative Water Solutions,Gurgaon,1200000.0
Zimmber,2015-07-29,Hyperlocal Handyman Services,Mumbai,2400000.0
Pipa Bella,2015-07-30,Online Jewelry Store,Mumbai,600000.0
Droom.In,2015-07-30,Used Vehicle Marketplace,Delhi,16000000.0
Noodle Play,2015-07-30,Chinese food delivery,Mumbai,168000.0
Pragmatix,2015-07-30,Business intelligence & Analytics,Mumbai,2400000.0
Cartisan,2015-07-30,On-Demand Car services App,Bengaluru,0.0
Lazylad,2015-07-31,Hyperlocal Grocery App,Gurgaon,500000.0
Tripfactory,2015-07-31,Online Curated Holiday package bookings,Bengaluru,0.0
Bona Vita,2015-07-31,Travel Tech,Gurgaon,5000000.0
Prothom,2015-07-31,Hasbro Toy Manufacturer,Pune,2000000.0
Ressy,2015-08-01,Restaurant Discount app,Pune,400000.0
Cuelearn,2015-08-03,Tech-enabled learning,Delhi,0.0
Glowship,2015-08-03,Energy & Environment Online Marketplace,Bengaluru,0.0
The Home Salon,2015-08-03,on-demand home beauty and wellness portal,Mumbai,0.0
Jusride,2015-08-03,Self Driven Car rental,Mumbai,0.0
Wizrocket,2015-08-03,User Engagment & Analytics platform,Mumbai,9600000.0
Pickingo,2015-08-04,On-Demand Delivery Logistics,Delhi,1300000.0
Grex,2015-08-05,fund raising platform for startups,Pune,650000.0
Zo Rooms,2015-08-05,Online budget hotel chain,Delhi,45000000.0
Zocalo,2015-08-05,Rental Accomodation finder,Delhi,0.0
Doormint,2015-08-05,Hyperlocal Handyman services,Mumbai,3000000.0
Sunday Realty Solutions,2015-08-05,Tech Platform for property brokers,Mumbai,785000.0
Wetravelsolo,2015-08-06,Travel community platform,Delhi,0.0
Loudshout,2015-08-06,anonymous bulletin board app,Delhi,0.0
Appvigil,2015-08-06,App security\\xc2\\xa0 testing platform,Mumbai,500000.0
Klozee,2015-08-06,Luxury Apparel rental,Bengaluru,0.0
Ndtv Ecommerce Venture,2015-08-06,Car & Bike ecommerce platform,Mumbai,0.0
Ketto,2015-08-06,Crowd funding platform,Mumbai,1400000.0
Gibss,2015-08-07,Energy saving solutions provider,Mumbai,0.0
Carl\\Xe2\\X80\\X99S Jr,2015-08-07,Fast food Chain Franchisee,Gurgaon,630000.0
Storemore.In,2015-08-07,Self-Storage Spaces,Noida,0.0
Easyrewardz,2015-08-07,Loyalty Programs & Reward Points,Mumbai,500000.0
Actionable Analytics,2015-08-10,Machine Learning Platform,New Delhi/ Houston,0.0
Inkmonk,2015-08-10,Online printing marketplace,Chennai,250000.0
Nearbuy (Previously\\Xc2\\Xa0 Groupon India),2015-08-10,Hyper-Local Ecommerce,Delhi,16000000.0
Esadar,2015-08-10,ecommerce,Delhi,80000.0
Mypoolin,2015-08-10,mobile social network,Delhi,250000.0
Grey Orange,2015-08-10,Automated Storage & Warehousing Solution,Gurgaon,30000000.0
Infogain,2015-08-11,Business and IT consulting,New Delhi / US,63000000.0
Allygrow Technologies,2015-08-11,engineering services company,Mumbai,20000000.0
Wow! Momo,2015-08-11,Quick Service Restaurant Chain,Kolkata,1600000.0
Massblurb,2015-08-13,Digital Marketing automation solution,Mumbai,0.0
Ifmr Holdings,2015-08-13,Financial Inclusion platform,Chennai,25000000.0
Etaout,2015-08-13,Ecommerce Marketing Software Platform,Noida,500000.0
Vanitycube,2015-08-14,On-Demand Beauty Services,Delhi,0.0
Edu4Share,2015-08-17,Exam Preparation Platform,Delhi,220000.0
Msm Box,2015-08-17,Beauty & Lifestyle platform,Delhi,0.0
Fixy,2015-08-17,On demand cleaning & fixing services,Mumbai,0.0
Gadgets 360,2015-08-17,Car & Bike ecommerce platform,Delhi,0.0
Orobind,2015-08-17,App based Fitness coaching,Bengaluru,200000.0
Sampurnearth,2015-08-17,Waste Management Solutions,Mumbai,160000.0
Intelligencenode,2015-08-18,Data Analytics Platform,Mumbai,4200000.0
Idfy,2015-08-18,Online Identity Verification Services platform,Mumbai,0.0
Twyst,2015-08-18,Location based engagement & rewards platform,Gurgaon,0.0
Zoojoo.Be,2015-08-18,Corporate Wellness App,Bengaluru,1000000.0
Hyperverge,2015-08-18,Deep Learning Cloud Algorithms,Chennai,1000000.0
Mebelkart,2015-08-19,Online Furniture Marketplace,Bengaluru,20000000.0
Fashionove,2015-08-19,Fashion Search & Review Platform,Kolkata,0.0
Flatpebble,2015-08-20,Online marketplace for Photographers,Hyderabad,600000.0
Bluegape.Com,2015-08-20,Visual Blogging platform,Delhi,600000.0
Labsadvisor,2015-08-20,Online Diagnostic Tests Marketplace,Delhi,156000.0
Epoise,2015-08-21,Job Search Platform,Bengaluru,500000.0
Bookmein,2015-08-24,Professional Service Appointment booking service,Mumbai,400000.0
Rbus,2015-08-24,Tech enabled AC bus service,Mumbai,0.0
Jolly Food Fellow,2015-08-24,Food Customer analytics platform,Ahmedabad,300000.0
Izofy,2015-08-24,Scientific Horoscope Online Assistance platform,Kolkata,0.0
Qyk App,2015-08-25,On-Demand App based Professional service provider,Bengaluru,1000000.0
Revx,2015-08-25,Cross-channel CRM platform,Mumbai,4000000.0
Ezysolare,2015-08-26,solar products and services marketplace,Ahmedabad,0.0
Belita,2015-08-26,On-Demand Beauty Service,Mumbai,400000.0
Foodtalkindia,2015-08-26,Online Food Community Platform,Gurgaon,500000.0
Djubo.Com,2015-08-27,Cloud Based Hotel Sales Platform,Delhi,0.0
Eazy Coach,2015-08-27,Education Marketplace,Kolkata,0.0
Rollmafia,2015-08-28,QSR Restaurant Chain,Pune,160000.0
Betterbutter.In,2015-08-28,online recipe sharing platform,Delhi,0.0
Iamwire,2015-08-29,Digital Media publishing platform,Gurgaon,0.0
Reverie,2015-08-31,Language Localization Cloud platform,Bengaluru,4000000.0
Infinite Analytics,2015-08-31,Big Data & predictive Analysis Platform,Mumbai,0.0
Stylecracker,2015-09-01,Personalized Styling platform,Mumbai,1000000.0
Luxuryhues,2015-09-01,Luxury goods\\xc2\\xa0 Shopping Platform,Gurgaon,900000.0
Fxmartindia,2015-09-01,Payment Services platform,Chandigarh,0.0
Toflo,2015-09-01,FinTech Startup Incubation platform,Mumbai,100000.0
